Source,Document,URL,Text,Date
Luxembourg CSSF,Luxembourg supplement to International Standard on Auditing 200,https://www.cssf.lu/wp-content/uploads/LUXEMBOURG-SUPPLEMENT-TO-ISA-200.pdf,,Published on 25.04.2019
Luxembourg CSSF,Sustainable Finance Market Dynamics: an overview,https://www.ngfs.net/sites/default/files/medias/documents/ngfs_report_sustainable_finance_market_dynamics.pdf,,Published on 31.03.2021
Luxembourg CSSF,UN designation of 22 February 2013 – SC/10925,https://www.un.org/press/en/2013/sc10925.doc.htm,,Published on 22.02.2013
Luxembourg CSSF,Circular CSSF 19/721,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf19_721.pdf,,Published on 01.07.2019
Luxembourg CSSF,CSSF Regulation No 16-02 of 29 March 2016 (only in French),https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Legislation/RG_CSSF/RCSSF_No16-02.pdf,,Published on 29.03.2016
Luxembourg CSSF,UN update of 13 December 2011 – SC/10483,https://www.un.org/press/en/2011/sc10483.doc.htm,,Published on 13.12.2011
Luxembourg CSSF,UN designation of 12 April 2012 – SC/10608,https://www.un.org/press/en/2012/sc10608.doc.htm,,Published on 12.04.2012
Luxembourg CSSF,Commission Delegated Regulation (EU) 2018/1638 of 13 July 2018,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32018R1638&qid=1503485700508&from=FR,,Published on 13.07.2018
Luxembourg CSSF,CSSF Regulation No 15-05 of 30 November 2015,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Legislation/RG_CSSF/RCSSF_No15-05.pdf,,Published on 30.11.2015
Luxembourg CSSF,ESMA Public Statement: Update on the process of revising the guidance published under the Prospectus Directive and applicability of the CESR recommendations concerning specialist issuers,https://www.esma.europa.eu/sites/default/files/library/esma31-62-1491_public_statement_qa_update_prospectus.pdf,,Published on 01.10.2020
Luxembourg CSSF,Luxembourg supplement to International Standard on Auditing 250,https://www.cssf.lu/wp-content/uploads/LUXEMBOURG-SUPPLEMENT-TO-ISA-250.pdf,,Published on 25.04.2019
Luxembourg CSSF,ESMA update of the CESR recommendations on the consistent implementation of Commission Regulation (EC) No 809/2004 implementing the Prospectus Directive,https://www.esma.europa.eu/sites/default/files/library/2015/11/2013-319.pdf,,Published on 20.03.2013
Luxembourg CSSF,UN update of 30 November 2011 – SC/10468,https://www.un.org/press/en/2011/sc10468.doc.htm,,Published on 30.11.2011
Luxembourg CSSF,Council Regulation (EC) No 305/2006 of 21 February 2006,https://eur-lex.europa.eu/legal-content/FR/ALL/?qid=1587819276420&uri=CELEX%3A32006R0305,,Published on 21.02.2006
Luxembourg CSSF,Council Regulation (EU) 2019/1890 of 11 November 2019,https://eur-lex.europa.eu/legal-content/FR/ALL/?qid=1587819902238&uri=CELEX%3A32019R1890,,Published on 11.11.2019
Luxembourg CSSF,Circular CSSF 05/187 (completed by Circular CSSF 10/433),https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf05_187.pdf,,Published on 26.05.2005
Luxembourg CSSF,Circular CSSF 03/87,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf03_87.pdf,,Published on 21.01.2003
Luxembourg CSSF,Commission Delegated Regulation (EU) 2020/1272 of 4 June 2020,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32020R1272&qid=1600147710057&from=FR,,Published on 14.09.2020
Luxembourg CSSF,Circular CSSF 17/649,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf17_649.pdf,,Published on 09.02.2017
Luxembourg CSSF,Commission Delegated Regulation (EU) No 525/2014 of 12 March 2014,http://data.europa.eu/eli/reg_del/2014/525/oj?locale=FR,,Published on 12.03.2014
Luxembourg CSSF,CSSF Regulation No 20-08 of 3 December 2020 (only in French),http://data.legilux.public.lu/file/eli-etat-leg-rcsf-2020-12-03-a969-jo-fr-pdf.pdf,,Published on 08.12.2020
Luxembourg CSSF,Commission Delegated Regulation (EU) No 148/2013 of 19 December 2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2013:052:0001:0010:FR:PDF,,Published on 19.12.2012
Luxembourg CSSF,Circular CSSF 11/511,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf11_511.pdf,,Published on 23.05.2011
Luxembourg CSSF,Circular CSSF 18/685,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf18_685.pdf,,Published on 20.03.2018
Luxembourg CSSF,UN designation of 16 June 2017 – SC/12876,https://www.un.org/press/fr/2017/sc12876.doc.htm,,Published on 16.06.2017
Luxembourg CSSF,Council Common Position 2001/931/CFSP of 27 December 2001,https://eur-lex.europa.eu/legal-content/FR/ALL/?uri=CELEX%3A32001E0931,,Published on 27.12.2001
Luxembourg CSSF,EBA Guidelines on internal governance under Directive 2013/36/EU,https://eba.europa.eu/sites/default/documents/files/documents/10180/2164689/b087c954-4782-48eb-9971-9b0426ef6fd6/Guidelines%20on%20Internal%20Governance%20(EBA-GL-2017-11)_FR.pdf,,Published on 26.09.2017
Luxembourg CSSF,Commission Delegated Regulation (EU) No 530/2014 of 12 March 2014,http://data.europa.eu/eli/reg_del/2014/530/oj?locale=FR,,Published on 12.03.2014
Luxembourg CSSF,Circular CSSF 15/631,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf15_631.pdf,,Published on 28.12.2015
Luxembourg CSSF,Regulation (EU) No 909/2014 of the European Parliament and of the Council of 23 July 2014,https://eur-lex.europa.eu/legal-content/FR/ALL/?uri=celex%3A32014R0909,,Published on 23.07.2014
Luxembourg CSSF,Law of 22 June 2018,http://data.legilux.public.lu/file/eli-etat-leg-loi-2018-06-22-a521-jo-fr-pdf.pdf,,Published on 22.06.2018
Luxembourg CSSF,Ministerial Regulation of 3 February 2015,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_030215_mes_restr.pdf,,Published on 03.02.2015
Luxembourg CSSF,Law of 25 July 2018,http://data.legilux.public.lu/file/eli-etat-leg-loi-2018-07-25-a628-jo-fr-pdf.pdf,,Published on 12.12.2017
Luxembourg CSSF,UN designation of 14 May 2019 – SC/13806,https://www.un.org/press/fr/2019/sc13806.doc.htm,,Published on 14.05.2019
Luxembourg CSSF,Council Regulation (EU) 2016/1686 of 20 September 2016,https://eur-lex.europa.eu/legal-content/FR/ALL/?qid=1587749994145&uri=CELEX%3A32016R1686,,Published on 20.09.2016
Luxembourg CSSF,Commission Directive 2007/16/EC of 19 March 2007,http://data.europa.eu/eli/dir/2007/16/oj,,Published on 19.03.2007
Luxembourg CSSF,Ministerial Regulation of 18 February 2019,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_180219_mes_restr.pdf,,Published on 18.02.2019
Luxembourg CSSF,Directive (EU) 2018/843 of the European Parliament and of the Council of 30 May 2018,http://data.europa.eu/eli/dir/2018/843/oj,,Published on 19.06.2018
Luxembourg CSSF,UN designation of 12 December 2016 – SC/12621,https://www.un.org/press/fr/2016/sc12621.doc.htm,,Published on 12.12.2016
Luxembourg CSSF,Commission Delegated Regulation (EU) No 862/2012 of 4 June 2012,http://eur-lex.europa.eu/legal-content/FR/TXT/?qid=1521711365432&uri=CELEX%3A32012R0862,,Published on 04.06.2012
Luxembourg CSSF,Law of 12 November 2004 (coordinated version) (being updated),https://www.cssf.lu/wp-content/uploads/L_121104_blanchiment.pdf,,Updated on 02.03.2021
Luxembourg CSSF,Circular CSSF 19/732,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Blanchiment_terrorisme/cssf19_732eng.pdf,,Published on 20.12.2019
Luxembourg CSSF,Extracts relating to the CSSF of the Law of 8 April 2011 concerning the implementation of a Consumer Code (being updated),https://www.cssf.lu/wp-content/uploads/L_240811_extraits_code_consommation.pdf,,Published on 08.04.2011
Luxembourg CSSF,Data on market risk (year 2019),https://www.cssf.lu/wp-content/uploads/Supervisory_Disclosure_Aggregate_statistical_data_Part3.xlsx,,Published on 05.02.2021
Luxembourg CSSF,CSSF Regulation No 19-06 of 26 June 2019,http://data.legilux.public.lu/file/eli-etat-leg-rcsf-2019-06-26-a447-jo-fr-pdf.pdf,,Published on 26.06.2019
Luxembourg CSSF,EBA Technical standards for the identification G-SIIs,https://www.eba.europa.eu/regulation-and-policy/own-funds/global-systemically-important-institutions-g-sii-,,Published on 13.01.2016
Luxembourg CSSF,Council Regulation (EU) 2016/983 of 20 June 2016,https://eur-lex.europa.eu/legal-content/FR/ALL/?qid=1587807535580&uri=CELEX%3A32016R0983,,Published on 30.06.2016
Luxembourg CSSF,Commission Delegated Regulation (EU) No 1187/2014 of 2 October 2014,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Legislation/ITS_RTS/RDC_UE_1187_2014_FR.pdf,,Published on 02.10.2014
Luxembourg CSSF,Commission Delegated Regulation (EU) 2016/522 of 17 December 2015,http://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32016R0522&rid=1,,Published on 17.12.2015
Luxembourg CSSF,Ministerial Regulation of 13 August 2018,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_130818_mes_restr.pdf,,Published on 13.08.2018
Luxembourg CSSF,ESMA Guidelines on EMIR Anti-Procyclicality Margine Measures for Central Counterparties,https://www.esma.europa.eu/sites/default/files/library/esma70-151-1496_guidelines_on_ccp_apc_margin_measures_fr.pdf,,Published on 15.04.2019
Luxembourg CSSF,UN designation of 28 March 2016 – SC/12305,https://www.un.org/press/fr/2016/sc12305.doc.htm,,Published on 28.03.2016
Luxembourg CSSF,Corrigendum to Regulation (EU) 2019/2033 of the European Parliament and of the Council of 27 November 2019,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32019R2033R(05)&from=FR,,Published on 02.12.2020
Luxembourg CSSF,Law of 15 March 2016 (coordinated version),https://www.cssf.lu/wp-content/uploads/L_150316_produits_derives_gre_a_gre.pdf,,Published on 15.03.2016
Luxembourg CSSF,Commission Delegated Regulation (EU) 2017/569 of 24 May 2016 (RTS 18),http://eur-lex.europa.eu/legal-content/FR/ALL/?uri=CELEX:32017R0569&qid=1523597927572,,Published on 24.05.2016
Luxembourg CSSF,Circular CSSF 10/451,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf10_451.pdf,,Published on 16.04.2010
Luxembourg CSSF,Commission Delegated Regulation (EU) No 528/2014 of 12 March 2014,https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32014R0528,,Published on 12.03.2014
Luxembourg CSSF,Commission Delegated Regulation (EU) 2019/815 of 17 December 2018,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:02019R0815-20190529&from=FR,,Published on 17.12.2018
Luxembourg CSSF,Circular CSSF 12/537,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf12_537.pdf,,Published on 29.06.2012
Luxembourg CSSF,Circular CSSF 20/735,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf20_735eng.pdf,,Published on 28.01.2020
Luxembourg CSSF,Circular CSSF 19/717,https://www.cssf.lu/wp-content/uploads/cssf19_717.pdf,,Published on 26.04.2019
Luxembourg CSSF,UN update of 26 December 2017 – SC/13145,https://www.un.org/press/fr/2017/sc13145.doc.htm,,Published on 26.12.2017
Luxembourg CSSF,Data on operational risk (year 2019),https://www.cssf.lu/wp-content/uploads/Supervisory_Disclosure_Aggregate_statistical_data_Part4.xlsx,,Published on 05.02.2021
Luxembourg CSSF,Commission Implementing Regulation (EU) 2017/981 of 7 June 2017 (ITS 7),http://eur-lex.europa.eu/legal-content/FR/ALL/?uri=CELEX:32017R0981&qid=1523603805345,,Published on 07.06.2017
Luxembourg CSSF,Commission Implementing Decision (EU) 2015/1612 of 23 September 2015,http://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32015D1612&from=FR,,Published on 23.09.2015
Luxembourg CSSF,Law of 13 July 2007 (coordinated version),https://www.cssf.lu/wp-content/uploads/L_130707_MIFID_eng-1.pdf,,Published on 13.07.2007
Luxembourg CSSF,UN designation of 3 September 2015 – SC/12034,https://www.un.org/press/fr/2015/sc12034.doc.htm,,Published on 03.09.2015
Luxembourg CSSF,Commission Delegated Regulation (EU) 2017/591 of 1 December 2016 (RTS 21),http://eur-lex.europa.eu/legal-content/FR/ALL/?uri=CELEX:32017R0591&qid=1523603267973,,Published on 01.12.2016
Luxembourg CSSF,Part 5 – Pillar 3 (2019),https://www.cssf.lu/wp-content/uploads/Supervisory_Disclosure_Rules_and_guidance_Part5.xlsx,,Published on 05.02.2021
Luxembourg CSSF,Commission Implementing Regulation (EU) 2017/105 of 19 October 2016,http://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32017R0105&from=FR,,Published on 19.10.2016
Luxembourg CSSF,CSSF Regulation No 15-01 of 31 July 2015,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Legislation/RG_CSSF/RCSSF_No15-01.pdf,,Published on 31.07.2015
Luxembourg CSSF,ESMA Public Statement “Accounting implications of the COVID-19 outbreak on the calculation of expected credit losses in accordance with IFRS 9,https://www.esma.europa.eu/sites/default/files/library/esma32-63-951_statement_on_ifrs_9_implications_of_covid-19_related_support_measures.pdf,,Published on 25.03.2020
Luxembourg CSSF,Circular CSSF 02/65,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf02_65.pdf,,Published on 08.07.2002
Luxembourg CSSF,Ministerial Regulation of 24 February 2020,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_240220_mes_restr.pdf,,Published on 24.02.2020
Luxembourg CSSF,Ministerial Regulation of 19 August 2014,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_190814_mes_restr.pdf,,Published on 19.08.2014
Luxembourg CSSF,Circular CSSF 19/712,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf19_712eng.pdf,,Published on 14.03.2019
Luxembourg CSSF,Luxembourg supplement to International Standard on Auditing 600,https://www.cssf.lu/wp-content/uploads/LUXEMBOURG-SUPPLEMENT-TO-ISA-600.pdf,,Published on 25.04.2019
Luxembourg CSSF,Regulation (EU) 2015/847 of the European Parliament and of the Council of 20 May 2015,http://data.europa.eu/eli/reg/2015/847/oj,,Published on 05.06.2015
Luxembourg CSSF,Luxembourg supplement to International Standard on Auditing 610,https://www.cssf.lu/wp-content/uploads/LUXEMBOURG-SUPPLEMENT-TO-ISA-610.pdf,,Published on 25.04.2019
Luxembourg CSSF,FAQ in relation to the acceptability of external experts to exercise the function of internal audit of a supervised entity of the financial sector (only in French),https://www.cssf.lu/wp-content/uploads/FAQ_Acceptabilit%C3%A9_expert_interne.pdf,,Published on 03.06.2016
Luxembourg CSSF,ESMA Decision of 16 September 2020,https://www.esma.europa.eu/sites/default/files/library/esma70-155-11072_-_decision_-_renewal_article_28_ssr_reporting_threshold_-_september_2020.pdf,,Published on 16.09.2020
Luxembourg CSSF,UN withdrawal 24 September 2013 – SC/11130,https://www.un.org/press/en/2013/sc11130.doc.htm,,Published on 24.09.2013
Luxembourg CSSF,Circular CSSF 20/750,https://www.cssf.lu/wp-content/uploads/cssf20_750.pdf,,Published on 25.08.2020
Luxembourg CSSF,Commission Delegated Regulation (EU) 2017/567 of 18 May 2016,http://eur-lex.europa.eu/legal-content/FR/ALL/?uri=CELEX:32017R0567&qid=1523597670761,,Published on 18.05.2016
Luxembourg CSSF,Circular CSSF 17/669,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf17_669.pdf,,Published on 28.09.2017
Luxembourg CSSF,Circular CSSF 17/657,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf17_657.pdf,,Published on 17.05.2017
Luxembourg CSSF,Directive 2004/25/CE du Parlement européen et du Conseil du 21 avril 2004,http://data.europa.eu/eli/dir/2004/25/oj,,Published on 21.04.2004
Luxembourg CSSF,Ministerial Regulation of 6 December 2012,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_061212_mes_restr.pdf,,Published on 06.12.2012
Luxembourg CSSF,Regulation (EU) No 575/2013 of the European Parliament and of the Council of 26 June 2013 (coordinated version),https://eur-lex.europa.eu/eli/reg/2013/575/oj?locale=fr,,Published on 27.06.2013
Luxembourg CSSF,Circular CSSF 17/651,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf17_651.pdf,,Published on 22.02.2017
Luxembourg CSSF,Council Implementing Regulation (EU) 2020/1128 of 30 July 2020,https://eur-lex.europa.eu/legal-content/FR/ALL/?uri=uriserv:OJ.L_.2020.247.01.0001.01.FRA,,Published on 31.07.2020
Luxembourg CSSF,Joint ESMA and EBA Guidelines on the assessment of the suitability of members of the management body and key function holders under Directive 2013/36/EU and Directive 2014/65/EU,https://eba.europa.eu/sites/default/documents/files/documents/10180/1972984/43592777-a543-4a42-8d39-530dd4401832/Joint%20ESMA%20and%20EBA%20Guidelines%20on%20the%20assessment%20of%20suitability%20of%20members%20of%20the%20management%20body%20and%20key%20function%20holders%20%28EBA-GL-2017-12%29.pdf?retry=1,,Published on 26.09.2017
Luxembourg CSSF,Ministerial Regulation of 27 February 2013,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_270213_mes_restr.pdf,,Published on 27.02.2013
Luxembourg CSSF,ESMA Guidelines on the reporting to competent authorities under Article 37 of the MMF Regulation – final report,https://www.esma.europa.eu/sites/default/files/library/esma34-49-168_final_report_on_mmf_reporting.pdf,,Published on 19.07.2019
Luxembourg CSSF,Commission Delegated Regulation (EU) 2017/610 of 20 December 2016,http://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32017R0610&from=FR,,Published on 20.12.2016
Luxembourg CSSF,Directive 2008/11/EC of the European Parliament and of the Council of 11 March 2008,http://eur-lex.europa.eu/legal-content/FR/TXT/?qid=1521710775461&uri=CELEX%3A32008L0011,,Published on 11.03.2008
Luxembourg CSSF,Council Regulation (EU) No 1024/2013 of 15 October 2013,http://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32013R1024&rid=1,,Published on 15.10.2013
Luxembourg CSSF,FAQ: COVID-19,https://www.cssf.lu/wp-content/uploads/FAQ_Covid_19_fr.pdf,,Published on 22.12.2020
Luxembourg CSSF,Circular CSSF 18/677,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf18_677.pdf,,Published on 12.01.2018
Luxembourg CSSF,UN designation of 4 October 2018 – SC/13531,https://www.un.org/press/fr/2018/sc13531.doc.htm,,Published on 04.10.2018
Luxembourg CSSF,Commission Delegated Regulation (EU) No 1002/2013 of 12 July 2013,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Legislation/RG_UE/RD_UE_1002_2013.pdf,,Published on 12.07.2013
Luxembourg CSSF,Commission Delegated Regulation (EU) No 342/2014 of 21 January 2014,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Legislation/ITS_RTS/RD_342_2014_FR.pdf,,Published on 21.01.2014
Luxembourg CSSF,Law of 15 December 2000 (coordinated version),https://www.cssf.lu/wp-content/uploads/L_151200_services_fin_postaux.pdf,,Updated on 13.06.2017
Luxembourg CSSF,Grand-ducal Regulation of 6 June 2018,http://data.legilux.public.lu/file/eli-etat-leg-rgd-2018-06-06-a475-jo-fr-pdf.pdf,,Published on 06.06.2018
Luxembourg CSSF,FAQ (Part II) on the statuses of PFS,https://www.cssf.lu/wp-content/uploads/FAQ_PSF_II_301020.pdf,,Updated on 30.10.2020
Luxembourg CSSF,Joint ESA Supervisory Statement – application of scope of the PRIIPs Regulation to bonds,https://www.eiopa.europa.eu/sites/default/files/publications/supervisory_statements/jc-2019-64_priips_kid_supervisory_statement_bonds.pdf,,Published on 24.10.2019
Luxembourg CSSF,Commission Delegated Regulation (EU) No 153/2013 of 19 December 2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2013:052:0041:0074:FR:PDF,,Published on 19.12.2012
Luxembourg CSSF,Circular CSSF 14/588,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf14_588.pdf,,Published on 28.05.2014
Luxembourg CSSF,CSSF Regulation No 16-04,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Legislation/RG_CSSF/RCSSF_No16-04.pdf,,Published on 30.08.2016
Luxembourg CSSF,Ministerial Regulation of 29 March 2016,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_290316_mes_restr.pdf,,Published on 29.03.2016
Luxembourg CSSF,Regulation (EU) 2015/534 of the European Central Bank of 17 March 2015,http://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32015R0534&from=EN,,Published on 17.03.2015
Luxembourg CSSF,Dashboard on scaling up green finance,https://www.ngfs.net/sites/default/files/medias/documents/dashboard-on-scaling-up-green-finance-march_2021.pdf,,Published on 31.03.2021
Luxembourg CSSF,Regulation (EU) 2016/2340 of the European Parliament and of the Council of 14 December 2016,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32016R2340&from=FR,,Published on 23.12.2016
Luxembourg CSSF,Questions and Answers relating to the provision of CFDs and other speculative products to retail investors under MiFID,https://www.esma.europa.eu/sites/default/files/library/esma35-36-794_qa_on_cfds_and_other_speculative_products_mifid.pdf,,Published on 31.03.2017
Luxembourg CSSF,Commission Delegated Regulation (EU) 2017/391 of 11 November 2016,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32017R0391&from=EN,,Published on 11.11.2016
Luxembourg CSSF,Commission Implementing Regulation (EU) No 827/ 2012 of 29 June 2012,https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32012R0827,,Published on 29.06.2012
Luxembourg CSSF,Circular CSSF 18/706,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf18_706eng.pdf,,Published on 19.12.2018
Luxembourg CSSF,Regulation (EU) No 537/2014 of the European Parliament and of the Council of 16 April 2014,http://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32014R0537&from=FR,,Published on 16.04.2014
Luxembourg CSSF,Circular CSSF-CPDI 16/03,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/CSSF_CPDI/CSSF_CPDI_1603.pdf,,Published on 18.10.2016
Luxembourg CSSF,Circular CSSF 10/467,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf10_467.pdf,,Published on 01.07.2010
Luxembourg CSSF,UN designation of 5 February 2013 – SC/10908,https://www.un.org/press/en/2013/sc10908.doc.htm,,Published on 05.02.2013
Luxembourg CSSF,Circular CSSF 19/718,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf19_718.pdf,,Published on 30.04.2019
Luxembourg CSSF,Circular CSSF-CPDI 17/07,https://www.cssf.lu/wp-content/uploads/CSSF_CPDI_1707.pdf,,Published on 19.04.2017
Luxembourg CSSF,Circular CSSF 18/699,https://www.cssf.lu/wp-content/uploads/cssf18_699.pdf,,Published on 22.08.2018
Luxembourg CSSF,ESMA Guidelines on certain aspects of the MiFID II suitability requirements,https://www.esma.europa.eu/sites/default/files/library/esma35-43-1163_guidelines_on_mifid_ii_suitability_requirements_fr.pdf,,Published on 06.11.2018
Luxembourg CSSF,Commission Implementing Regulation (EU) 2018/634 of 24 April 2018,http://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32018R0634&qid=1527231308390,,Published on 24.04.2018
Luxembourg CSSF,Law of 25 February 2021 (only in French),http://data.legilux.public.lu/file/eli-etat-leg-loi-2021-02-25-a158-jo-fr-pdf.pdf,,Published on 01.03.2021
Luxembourg CSSF,Corrigendum to Regulation (EU) 2019/876 of the European Parliament and of the Council of 20 May 2019,https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=uriserv:OJ.L_.2021.065.01.0061.01.FRA,,Published on 25.02.2021
Luxembourg CSSF,Commission Delegated Regulation (EU) 2017/575 of 8 June 2016 (RTS 27),http://eur-lex.europa.eu/legal-content/FR/ALL/?uri=CELEX%3A32017R0575,,Published on 08.06.2016
Luxembourg CSSF,ESMA Guidelines on MiFID II product governance requirements,https://www.esma.europa.eu/sites/default/files/library/esma35-43-620_guidelines_on_mifid_ii_product_governance_fr.pdf,,Published on 05.02.2018
Luxembourg CSSF,Circular-letter,https://www.cssf.lu/wp-content/uploads/circular-letter_270121_AML_CFT.pdf,,Published on 27.01.2021
Luxembourg CSSF,Commission Implementing Regulation (EU) 2016/1055 of 29 June 2016,http://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32016R1055&rid=1,,Published on 29.06.2016
Luxembourg CSSF,Circular CSSF 17/667,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf17_667.pdf,,Published on 18.08.2017
Luxembourg CSSF,"Circular CSSF 06/273 (as amended by Circulars CSSF 07/317, CSSF 10/450, CSSF 10/475, CSSF 10/496, CSSF 11/501 and CSSF 13/568) (only in French)",https://www.cssf.lu/wp-content/uploads/cssf06_273_couverture.pdf,,Updated on 31.12.2011
Luxembourg CSSF,Ministerial Regulation of 1 August 2011,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_020811_mes_restr.pdf,,Published on 01.08.2011
Luxembourg CSSF,Law of 1 April 2015 (coordinated version),https://www.cssf.lu/wp-content/uploads/L_010415_CRS.pdf,,Published on 01.04.2015
Luxembourg CSSF,Ministerial Regulation of 24 July 2017,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_240717_mes_restr_659.pdf,,Published on 24.07.2017
Luxembourg CSSF,Circular CSSF 19/716 (as amended by Circular CSSF 20/743),https://www.cssf.lu/wp-content/uploads/cssf19_716_010720.pdf,,Updated on 01.07.2020
Luxembourg CSSF,Commission Opinion of 29.8.2019 on the application of derogations from the freezing of funds and from the prohibition of making funds and economic resources available to designated persons and entities,https://ec.europa.eu/fpi/sites/fpi/files/2-act_part1_v5_fr.pdf,,Published on 28.08.2019
Luxembourg CSSF,Commission Implementing Regulation (EU) No 620/2014 of 4 June 2014,https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32014R0620,,Published on 04.06.2014
Luxembourg CSSF,Council Regulation (EU) 2016/44 of 18 January 2016,https://eur-lex.europa.eu/legal-content/FR/ALL/?qid=1587807729330&uri=CELEX%3A32016R0044,,Published on 18.01.2016
Luxembourg CSSF,Ministerial Regulation of 14 April 2015,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_140415_mes_restr.pdf,,Published on 14.04.2015
Luxembourg CSSF,Ministerial Regulation of 12 August 2015,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_120815_mes_restr.pdf,,Published on 12.08.2015
